CountID,Date,Road,Location,Direction,Days,MidweekADT,WeekendADT,7DayADT,AvgHr,Lat,Long
1028,1/01/2003,Ballarat-Burrumbeet Rd ,btw Ring Rd & Caroline St                                ,W         ,5,"5,094",,,,-37.546854242825304,143.79788322035529
1029,1/01/2003,Gillies St ,btw Ballarat-Maryborough Rd & Norman St                              ,N         ,5,"8,542",,,,-37.53502957991612,143.82295691008841
1030,1/01/2003,Gillies St ,btw Ballarat-Maryborough Rd & Norman St                              ,S         ,5,"8,538",,,,-37.535035607462191,143.82308160477538
1031,1/01/2003,Gillies St ,btw Grevillea St & Aster St                                          ,N         ,5,"4,370",,,,-37.528267003944045,143.82427450581383
1032,1/01/2003,Gillies St ,btw Grevillea St & Aster St                                          ,S         ,5,"4,115",,,,-37.528264839569822,143.82436493758149
1033,1/01/2003,Ballarat-Maryborough Rd ,btw Norman St & Gillies St                              ,NW        ,5,"4,719",,,,-37.536340252339549,143.81977014938806
1034,1/01/2003,Ballarat-Maryborough Rd ,btw Norman St & Gillies St                              ,SE        ,5,"5,212",,,,-37.536338091020987,143.81986059125541
1035,1/01/2003,Midland Hwy ,btw Leith St & Bell St                                              ,N         ,5,"11,054",,,,-37.578446746922381,143.84270009746785
1036,1/01/2003,Midland Hwy ,btw Leith St & Bell St                                              ,S         ,5,"9,608",,,,-37.578444020727261,143.84281321118829
1051,1/01/2004,Midland Hwy ,300m S of Napoleons Rd @ 77.0km from Geelong                        ,N         ,5,"2,980",,,,-37.645495931999164,143.86684280323911
1052,1/01/2004,Midland Hwy ,300m S of Napoleons Rd @ 77.0km from Geelong                        ,S         ,5,"2,952",,,,-37.645423914930433,143.86684003302918
1053,1/01/2003,Midland Hwy ,btw Cornish St & Fiskin St                                          ,E         ,5,"2,214",,,,-37.651598531462575,143.89035512364964
1054,1/01/2003,Midland Hwy ,btw Cornish St & Fiskin St                                          ,W         ,5,"2,228",,,,-37.651688550841293,143.89035861556968
1057,1/01/2001,Gillies St ,200m N of Winter St (Ballarat)                                       ,N         ,5,"4,713",,,,-37.566808044956069,143.81665151657054
1058,1/01/2001,Gillies St ,200m N of Winter St (Ballarat)                                       ,S         ,5,"4,353",,,,-37.566806694706159,143.81670806590597
1061,1/01/2004,Midland Hwy ,btw Sayle St & Bala St                                              ,N         ,5,"11,424",,,,-37.587285444962873,143.84086244255178
1062,1/01/2004,Midland Hwy ,btw Sayle St & Bala St                                              ,S         ,5,"10,617",,,,-37.58728135745784,143.8410321334585
1063,1/01/2003,Ballarat-Maryborough Rd ,btw Dowling St & Browns Pde                             ,E         ,5,"7,810",,,,-37.540958115970263,143.83800467175607
1064,1/01/2003,Ballarat-Maryborough Rd ,btw Dowling St & Browns Pde                             ,W         ,5,"8,719",,,,-37.54109315376197,143.83800979437825
1065,1/01/2004,Forest St ,btw Forest Ct & Oswald St                                             ,N         ,5,"1,100",,,,-37.522358875108459,143.83467476719031
1066,1/01/2004,Forest St ,btw Forest Ct & Oswald St                                             ,S         ,5,"1,216",,,,-37.522357517586308,143.83473128208072
1068,1/01/2004,Glenelg Hwy ,btw Beverin St & Clarkson St                                        ,E         ,5,"6,687",,,,-37.585367314320621,143.83894386970243
1069,1/01/2004,Glenelg Hwy ,btw Beverin St & Clarkson St                                        ,W         ,5,"6,654",,,,-37.585457338763952,143.83894729138439
1070,1/01/2004,Alfred St ,btw Glenelg Hwy & Bevtre St                                           ,N         ,5,"2,275",,,,-37.585497685451848,143.83427249527233
1073,1/01/2004,Western Fwy (Ballarat) ,btw Midland Hwy & Daylesford-Ballarat Rd @107.2km Po     ,E         ,5,"4,697",,,,-37.539044675235729,143.88421338362508
1074,1/01/2004,Western Fwy (Ballarat) ,btw Midland Hwy & Daylesford-Ballarat Rd @107.2km Po     ,W         ,5,"5,050",,,,-37.540130853710224,143.88364420302199
11,1/01/2002,DANA STREET,Between Ripon St & Pleasant St,E+W,5,"2,930",,,,-37.562133145722392,143.83988369164197
13,1/01/2002,DANA STREET BALLARAT,East of Pleasant St,E+W,5,"3,129",,,,-37.562050178991534,143.83921270325195
14,1/01/2001,DAWSON STREET,50m. SOUTH OF MAIR STREET,N+S,5,"2,333",,,,-37.559755024346821,143.85367032320823
16,1/01/2002,DRUMMOND STREET BALLARAT,Between Mair St & Sturt St,S+N,5,"10,504",,,,-37.559529936064962,143.84769669581175
2001,1/01/2005,Old Melbourne Rd,North of Mahers Rd,N,5,"1,372",,,,-37.564929272329088,143.93329722401381
2002,1/01/2005,Old Melbourne Rd,North of Mahers Rd,S,5,"1,385",,,,-37.564927022619933,143.93338769140158
2003,1/01/2005,Ballarat Buninyong Rd,North of Fisken Rd,N,5,"2,931",,,,-37.630982131702602,143.8807980064056
2004,1/01/2005,Ballarat Buninyong Rd,North of Fisken Rd,S,5,"2,904",,,,-37.630979918937946,143.88088855802761
2005,1/01/2005,Mt Clear-Sebastopol Rd,Between Charlotte St & Bradleys La,E,5,"3,611",,,,-37.602934138256913,143.85404047746979
2006,1/01/2005,Mt Clear-Sebastopol Rd,Between Charlotte St & Bradleys La,W,5,"3,505",,,,-37.603006156651013,143.85404323110183
2007,1/01/2005,Midland Hwy,100m South of Norman St,N,5,"5,928",,,,-37.536458585274744,143.84935305203444
2008,1/01/2005,Midland Hwy,100m South of Norman St,S,5,"6,298",,,,-37.536456401294245,143.84944349172645
2009,1/01/2005,Midland Hwy,100m NE of Ballarat-Carngham Rd,NE,5,"9,980",,,,-37.572705384449975,143.84724776032175
2010,1/01/2005,Midland Hwy,100m NE of Ballarat-Carngham Rd,SW,5,"8,750",,,,-37.572701289109666,143.84741741719947
2011,1/01/2005,Ballarat-Burrumbeet Rd,Between Alfred St & Dawsons Av,E,5,"8,263",,,,-37.558575884761218,143.8293013612944
2012,1/01/2005,Ballarat-Burrumbeet Rd,Between Alfred St & Dawsons Av,W,5,"8,645",,,,-37.558710923167411,143.82930647146557
2013,1/01/2005,Ballarat-Burrumbeet Rd,Between Gillies St & Crocker St,E,5,"10,774",,,,-37.5559920635054,143.81979801387408
2014,1/01/2005,Ballarat-Burrumbeet Rd,Between Gillies St & Crocker St,W,5,"11,246",,,,-37.55617211626911,143.81980480394276
2015,1/01/2005,Wiltshire Lane,80m South of Whitelaw Av,N,5,"4,024",,,,-37.579374485243108,143.80848656124061
2016,1/01/2005,Wiltshire Lane,80m South of Whitelaw Av,S,5,"4,388",,,,-37.579372869175948,143.80855443232244
22,1/01/2003,GILLIES STREET,40 Metres North of Winter St,N+S,5,"9,926",,,,-37.568275654893846,143.8163219349122
23,1/01/2003,GILLIES STREET,20 Metres North of La Trobe St,N+S,5,"6,646",,,,-37.570231297039079,143.81593148702254
24,1/01/2001,GILLIES STREET WENDOUREE NORTH BOUND,200 Metres North of Howitt St,N,5,"7,378",,,,-37.537084539196492,143.82255918560284
25,1/01/2001,GILLIES STREET WENDOUREE SOUTH BOUND,100 Metres South of Norman St,S,5,"5,303",,,,-37.533243075987222,143.82343263413074
27,1/01/2001,GREVILLEA ROAD,At Primary School # 1238,W+E,5,"2,177",,,,-37.526622941905828,143.81992449030915
3,1/01/2001,BURNBANK STREET,Between Cartledge St & Gnarr St,S,5,"2,253",,,,-37.547360839034027,143.84639585568212
3001,1/01/2005,Sturt St / Ballarat-Burrumbeet Rd,Just West of Ring Road,E,5,"1,601",,,,-37.545943948813154,143.79485018487819
3002,1/01/2005,Sturt St / Ballarat-Burrumbeet Rd,Just West of Ring Road,W,5,"1,675",,,,-37.546196028506706,143.79485960353983
3003,1/01/2005,La Trobe St / Ballarat-Carngham Rd,Just West of Wiltshire Lane,E,5,"1,836",,,,-37.569713859018414,143.80928950103507
3004,1/01/2005,La Trobe St / Ballarat-Carngham Rd,Just West of Wiltshire Lane,W,5,"1,822",,,,-37.56978588060818,143.80929220828082
3005,1/01/2005,Smythes Rd / Glenelg Hwy,Just West of Wiltshire Lane,E,5,"2,975",,,,-37.590394065422601,143.80548117693368
3006,1/01/2005,Smythes Rd / Glenelg Hwy,Just West of Wiltshire Lane,W,5,"2,885",,,,-37.590466086995029,143.80548388252893
3007,1/01/2005,Albert St / Midland Hwy,Just South of Docwra St,N,5,"4,803",,,,-37.614423755915531,143.83719459112186
3008,1/01/2005,Albert St / Midland Hwy,Just South of Docwra St,S,5,"4,800",,,,-37.614421577426008,143.8372851261112
3009,1/01/2005,Geelong Rd / Ballarat-Buninyong Rd,Just South of Olympic Ave,N,5,"7,425",,,,-37.610171027517204,143.86994782583773
3010,1/01/2005,Geelong Rd / Ballarat-Buninyong Rd,Just South of Olympic Ave,S,5,"7,314",,,,-37.610168273248036,143.8700609848955
3011,1/01/2005,Yankee Flat Rd,Nth of Butlers Rd,N,5,"1,013",,,,-37.611575227084714,143.79840511185103
3012,1/01/2005,Yankee Flat Rd,Nth of Butlers Rd,S,5,"1,009",,,,-37.608833400561323,143.91164491294151
3013,1/01/2005,Victoria St / Ballarat-Burrumbeet Rd,Just West of Daylesford-Ballarat Rd,W,5,"6,432",,,,-37.558098417206111,143.89099236556748
3014,1/01/2005,Victoria St / Ballarat-Burrumbeet Rd,Just West of Daylesford-Ballarat Rd,E,5,"6,449",,,,-37.557936379840577,143.89098609991873
3015,1/01/2005,Learmonth Rd / Ballarat-Maryborough Rd,Just South of Western Fwy,N,5,"3,571",,,,-37.511492913083764,143.80445724053837
3016,1/01/2005,Learmonth Rd / Ballarat-Maryborough Rd,Just South of Western Fwy,S,5,"3,447",,,,-37.511489690478086,143.80459286013573
3017,1/01/2005,Gillies St,Just South of Western Fwy,N,5,"3,442",,,,-37.520066500162933,143.82580914435312
3018,1/01/2005,Gillies St,Just South of Western Fwy,S,5,"3,098",,,,-37.52006379371614,143.82592217153905
3019,1/01/2005,Creswick Rd / Midland Hwy,Just South of Western Fwy,N,5,"5,657",,,,-37.524516406613024,143.84574194320015
3020,1/01/2005,Creswick Rd / Midland Hwy,Just South of Western Fwy,S,5,"5,746",,,,-37.524513680817691,143.84585497514607
3021,1/01/2005,Ring Road,Just North of Sturt St / Ballarat-Burrumbeet Rd,S,5,"3,844",,,,-37.545718927383128,143.79750124781953
3022,1/01/2005,Ring Road,Just North of Sturt St / Ballarat-Burrumbeet Rd,N,5,"4,041",,,,-37.545716782666226,143.79759170274573
3023,1/01/2005,Gillies St,Just North of Sturt St / Ballarat-Burrumbeet Rd,S,5,"11,017",,,,-37.554582618110409,143.8192015908806
3024,1/01/2005,Gillies St,Just North of Sturt St / Ballarat-Burrumbeet Rd,N,5,"10,454",,,,-37.554578294497652,143.81938251877764
3025,1/01/2005,Drummond St,Just North of Sturt St / Ballarat-Burrumbeet Rd,S,5,"6,901",,,,-37.560243583637543,143.84762200839873
3026,1/01/2005,Drummond St,Just North of Sturt St / Ballarat-Burrumbeet Rd,N,5,"7,262",,,,-37.560246313321542,143.84750892267201
3027,1/01/2005,Creswick Rd / Midland Hwy,Just North of Mair St / Ballarat-Burrumbeet Rd,S,5,"7,371",,,,-37.558072084621038,143.84799204609553
3028,1/01/2005,Creswick Rd / Midland Hwy,Just North of Mair St / Ballarat-Burrumbeet Rd,N,5,"6,064",,,,-37.558074268553597,143.84790158017
3029,1/01/2005,Norman St,Just West of Midland Hwy,E,5,"5,157",,,,-37.535136330654161,143.84813724041206
3030,1/01/2005,Norman St,Just West of Midland Hwy,W,5,"4,973",,,,-37.535208350247103,143.84813998164367
3031,1/01/2005,Howitt St / Ballarat-Maryborough Rd,Just West of Midland Hwy,E,5,"6,387",,,,-37.542285077702061,143.84912230925607
3032,1/01/2005,Howitt St / Ballarat-Maryborough Rd,Just West of Midland Hwy,W,5,"5,361",,,,-37.5424291165887,143.84912779503796
3033,1/01/2005,Macarthur St,Just West of Drummond St,E,5,"8,135",,,,-37.54985639769707,143.84902592808334
3034,1/01/2005,Macarthur St,Just West of Drummond St,W,5,"8,388",,,,-37.549946421893672,143.84902935751285
3035,1/01/2005,Sturt St / Ballarat-Burrumbeet Rd,Just West of Drummond St,E,5,"10,950",,,,-37.560499208156131,143.84673754345141
3036,1/01/2005,Sturt St / Ballarat-Burrumbeet Rd,Just West of Drummond St,W,5,"11,175",,,,-37.560841300158422,143.84675056990466
3037,1/01/2005,La Trobe St / Ballarat-Carngham Rd,Just West of Drummond St,E,5,"4,341",,,,-37.573166708553146,143.84418604337276
3038,1/01/2005,La Trobe St / Ballarat-Carngham Rd,Just West of Drummond St,W,5,"3,838",,,,-37.57323872792908,143.84418878456151
3039,1/01/2004,Hertford St / Glenelg Hwy,Just West of Midland Hwy,E,5,"6,687",,,,-37.585213227933863,143.84010425965766
3040,1/01/2004,Hertford St / Glenelg Hwy,Just West of Midland Hwy,W,5,"6,654",,,,-37.585303252288881,143.8401076827181
34,1/01/2003,LA TROBE STREET,80 Metres East of Brazenor St,E+W,5,"13,562",,,,-37.571104108101324,143.82126245786972
36,1/01/2003,LA TROBE STREET,80 Metres East of Gillies St,E+W,5,"12,575",,,,-37.570580692456097,143.81677105708124
38,1/01/2003,LA TROBE STREET,80 Metres East of Learmonth St,E+W,5,"8,359",,,,-37.569949399129321,143.81150585948043
40,1/01/2003,LEARMONTH STREET,70 Metres North of La Trobe St,N+S,5,"9,970",,,,-37.569123091879554,143.81063706470667
45,1/01/2002,LITTLE BRIDGE STREET,40 Metres East of Grenville St,W,5,"7,462",,,,-37.563034971539849,143.86110784189214
47,1/01/2002,MAIR STREET,Between Camp St & Grenville St,W+E,5,"12,669",,,,-37.559971584237509,143.8599832193826
50767,24/01/2002,KLINE STREET BALLARAT,Between Spencer St & Bennett St,N+S,8,422,379,411,28,-37.580287245974439,143.88159318445295
50768,24/01/2002,PEARSE STREET BALLARAT,Between Victoria & Mair St,N+S,8,469,160,392,26,-37.563200734132252,143.86541555022032
50770,28/02/2002,BARKLY STREET EAST,At No 21,W+E,7,5996,5344,5810,384,-37.56538568401713,143.86783116782354
50771,4/05/2002,FRASERS ROAD,Between Midland Highway & Slatey Ck Rd,E+W,7,42,44,43,2,-37.500741846258713,143.85524382475526
50772,5/05/2002,LOCH AVENUE,Between Webster St & Mill St,S+N,9,556,463,525,37,-37.557113970562597,143.84960805032338
50773,5/05/2002,SALISBURY AVENUE,Between Pleasant St & Waller Ave,E+W,9,309,287,302,19,-37.569620852388688,143.83389668174641
50774,4/05/2002,WINDERMERE STREET,Between Latrobe St & Darling St,N+S,7,551,383,503,35,-37.57577329071929,143.84221345600884
50775,5/05/2002,RODIER STREET,Between Creek & Speed Hump @ No 12,S+N,9,445,314,401,28,-37.56345038447332,143.88143073799009
50776,5/05/2002,RODIER STREET,Between creek & Victoria St @ No 15,S+N,9,447,295,396,28,-37.562896557682791,143.88160181753051
50777,17/05/2002,DANA STREET,Between Ripon St & Pleasant St,E+W,18,2930,2067,2642,189,-37.563782444003635,143.8387464793114
50778,17/05/2002,MCNULTY DRIVE,West End #25,S+N,10,223,183,207,13,-37.527224730370527,143.81094118243448
50779,17/05/2002,MCNULTY DRIVE,East End #43,S+N,10,147,155,150,9,-37.528435484442788,143.81193704792261
50780,17/05/2002,MILITARY DRIVE (VICTORIA PARK),East Side of Club Rooms,W+E,18,53,153,86,5,-37.56409048346223,143.81951485743053
50781,5/06/2002,SLATEY CREEK ROAD,South of Millers Rd,N+S,7,246,221,239,16,-37.517219252401475,143.86244454746569
50782,5/06/2002,SLATEY CREEK ROAD,Between Rosehill Rd & Millers Rd,N+S,7,232,214,227,16,-37.512104952533683,143.86340284476978
50783,5/06/2002,MILLERS ROAD,Between Slatey Creek Rd & Midland Highway,E+W,7,363,296,344,23,-37.515254442007596,143.85316136962012
50784,5/06/2002,ROSEHILL ROAD,Between Slatey Creek Rd & Midland H'way,E+W,7,35,39,36,2,-37.508267683066222,143.85404893598042
50785,5/06/2002,GREENHILL ROAD,60 Metres East of Oakbank Drive (At No 102),E+W,7,474,473,474,32,-37.618707321788428,143.88458317390018
50786,5/06/2002,TARAWA DRIVE INVERMAY,# 14,N+S,7,78,53,70,4,-37.537473382326354,143.86549364046326
50787,5/06/2002,HOWE STREET,60m North of Market St,N+S,7,3190,2641,3033,212,-37.482993312372514,143.79982898778013
50788,26/06/2002,GOLF VIEW DRIVE,Between Fairway Dve & Doveton St # No 14,W+E,7,381,305,359,24,-37.532215576378448,143.85750780167339
50789,22/06/2002,WHITE SWAN ROAD,EAST OF ALKERA ROAD,W+E,10,295,312,302,21,-37.526400460807146,143.88872676672955
50790,22/06/2002,WHITE SWAN ROAD,WEST OF ALKERA ROAD,E+W,10,419,402,412,28,-37.527520552843782,143.88714079384707
50791,27/02/2003,ROWAN PARADE,KIWA ST.-LAURINE CT.,E+W,7,433,380,418,27,-37.523733206409091,143.83672929048637
50795,27/07/2002,DRUMMOND STREET BALLARAT,Between Mair St & Sturt St,S+N,10,10504,7932,9475,648,-37.561129380199091,143.84638800930239
50796,26/07/2002,MT BUNINYONG RD (UPPER),East of Yankee Flat Rd,W+E,11,146,219,172,12,-37.646981293979245,143.91284008589957
50797,22/08/2002,BUNINYONG MT MERCER ROAD,500 Metres North of Slaughterhouse Rd,S+N,8,795,852,809,56,-37.680130111349939,143.86989943933551
50802,17/10/2002,RICE STREET BALLARAT,Between Finch & Morres St #14,S+N,7,217,189,209,13,-37.555882152367097,143.87881882061365
50803,17/10/2002,MORRES STREET BALLARAT,Between Rice St & Stawell St #618,W+E,7,137,125,133,8,-37.555251576703313,143.88028853586891
50804,5/10/2002,PLEASANT STREET BALLARAT,North of Dana St,N+S,10,9743,7434,8819,607,-37.563320500734918,143.83734796258165
50805,5/10/2002,PLEASANT STREET BALLARAT,South of Dana St,S+N,10,11019,8296,9930,698,-37.563881375203835,143.83725605626267
50806,5/10/2002,DANA STREET BALLARAT,East of Pleasant St,E+W,10,3129,1992,2674,189,-37.563684731290806,143.83793908300848
50807,5/10/2002,RIPON STREET BALLARAT,North of Dana St,S+N,10,2577,1903,2308,160,-37.563686471252048,143.83973895182856
50808,5/10/2002,RIPON STREET BALLARAT,South of Dana St,N+S,10,1743,1362,1590,110,-37.564184329542499,143.83964466937189
50809,19/01/2003,RECREATION ROAD MT CLEAR,At Water Tank Gate,E+W,7,169,166,168,10,-37.608929425572541,143.89273385953854
50810,3/12/2002,ARMSTRONG STREET SOUTH,#319 50 Metres North of South St,S+N,8,303,263,293,19,-37.570577032819045,143.85291749999385
50812,2/12/2002,NEVETT CRESCENT MT CLEAR,# 18,N+S,14,71,80,73,1,-37.635095840952623,143.87469130793465
50813,3/12/2002,CARTLEDGE AVENUE MT CLEAR,Opposite Unit No 9,E+W,9,184,169,181,12,-37.603117622678688,143.86468209328811
50814,21/11/2002,MAIR STREET,Between Camp St & Grenville St,W+E,9,12669,11098,12320,836,-37.56164669408453,143.8589040693621
50815,21/11/2002,GRENVILLE STREET NORTH,30 Metres North of Sturt St,N+S,9,6812,6817,6813,382,-37.563544496421528,143.85941810878828
50816,21/11/2002,LITTLE BRIDGE STREET,40 Metres East of Grenville St,W+E,10,7480,7651,7531,438,-37.56464602424262,143.85969795799383
50818,21/11/2002,GRENVILLE STREET NORTH,40 Metres North of Curtis Street,S+N,10,3808,3527,3724,260,-37.562911044684171,143.85952971012418
50819,21/11/2002,GRENVILLE STREET SOUTH,Between Dana St & Lewis St,N+S,10,2221,1329,1953,145,-37.565281164768201,143.85914495259971
50820,23/11/2002,STURT STREET (EASTBOUND),50 Metres West of Grenville St,E+W,8,8631,8801,8695,524,-37.563748072232833,143.85882596411076
50821,23/11/2002,STURT STREET (WESTBOUND),50 Metres West of Grenville St,W+E,8,9261,9485,9345,561,-37.564000959438474,143.85880167729528
50822,21/11/2002,CURTIS STREET,50 Metres East of Grenville St,E+W,10,5531,5739,5593,300,-37.563387848559202,143.85993280976069
50823,21/11/2002,DANA STREET,Between Grenville St & Albert St,W+E,10,11104,10466,10913,179,-37.566038580554149,143.85800798374089
50825,19/01/2003,DARRIWELL DRIVE MT CLEAR,# No 35,S+N,10,133,118,129,7,-37.633993657589485,143.87407097633789
50826,19/01/2003,EXTENDED LANE,40 Metres South of Darling St,N+S,10,47,23,39,2,-37.577218321119339,143.84244957031157
50827,19/01/2003,ALEXANDRA STREET SEBASTOPOL,# No 10,N+S,10,289,264,282,17,-37.58429789039387,143.83132836861927
50828,12/02/2003,RODIER STREET BALLARAT,At Drainage Reserve  Between N0 219 & 221,S+N,7,602,543,585,37,-37.569395777918992,143.88112789873148
50829,1/03/2003,SCOTT PARADE,DAVIES STREET TO BRIDGE,E+W,10,4706,3493,4221,292,-37.560514098968163,143.86064915543997
50830,27/02/2003,FINLAY STREET,Between Middlin St & Ryan St & No52,W+E,13,338,279,320,20,-37.556484295180901,143.90241800060096
50831,12/03/2003,LA TROBE STREET,80 Metres East of Brazenor St,E+W,7,11931,8096,10835,755,-37.572731376611955,143.81990877578784
50832,12/03/2003,LA TROBE STREET,80 Metres East of Gillies St,E+W,7,13474,8493,12051,854,-37.572198640475776,143.81542825411771
50833,12/03/2003,LA TROBE STREET,80 Metres East of Learmonth St,E+W,7,7780,5113,7018,490,-37.571568638724834,143.81010639584977
50834,12/03/2003,LEARMONTH STREET,70 Metres North of La Trobe St,N+S,7,8485,5521,7638,525,-37.570812996254354,143.809296855947
50835,12/03/2003,LEARMONTH STREET,50 Metres North of Winter St,N+S,7,7529,4938,6789,462,-37.569147610548335,143.80960782896639
50836,12/03/2003,GILLIES STREET,40 Metres North of Winter St,N+S,7,10523,7591,9686,680,-37.569865779387435,143.81501207391517
50838,12/03/2003,WINTER STREET,70 Metres West of Gillies St,E+W,7,1781,1028,1566,115,-37.570157178634204,143.81412872585099
50839,12/03/2003,CEDAR AVENUE,40 Metres North of Winter St,N+S,7,638,552,613,43,-37.570394400657456,143.8192885260689
50840,12/03/2003,BRAZENOR STREET,Between La Trobe & Park St,N+S,7,841,497,743,51,-37.572127499052733,143.81916145432785
50841,12/03/2003,WINTER STREET,100 Metres East of Brazenor St,E+W,7,560,372,506,36,-37.570992599651731,143.82027335006276
50844,20/03/2003,HILL TOP ROAD,80 Metres South of Gracefield Rd,N+S,13,27,26,26,1,-37.556359846288018,143.9180549489202
50845,20/03/2003,GREGORY STREET,At No 1452,E+W,13,2747,1828,2464,176,-37.542947647042347,143.82381018204092
50846,20/03/2003,GREGORY STREET,80 Metres West of Forest St,E+W,13,2468,1629,2210,155,-37.543527104341834,143.82858498026221
50847,20/03/2003,GREGORY STREET,At Bowling Club,E+W,13,1418,1008,1292,91,-37.542587653255531,143.83581454273497
50848,20/03/2003,GREGORY STREET,80 Metres West of Burnbank St,E+W,13,1177,841,1074,73,-37.54514805552666,143.84212447646743
50849,3/04/2003,KENT STREET,Between Pleasant St & Ripon St @ No8A,E+W,7,172,147,165,11,-37.564798069337037,143.83847941814426
50854,30/04/2003,NOLANS ROAD,Between Napoleans Rd & Austins Rd,E+W,9,74,54,69,4,-37.661233251243686,143.84432639546776
50855,30/04/2003,NOLANS ROAD,Between Austins Rd & Bridge,E+W,9,98,77,93,6,-37.663693615603663,143.83420775966889
50856,2/05/2003,LAL LAL STREET BUNINYONG,Between Midland H'way & Scott St,N+S,7,153,150,152,9,-37.654660146700145,143.89263853977178
50857,2/05/2003,GRANT STREET SEBASTOPOL,Between Birdwood Ave & Walker St.,N+S,7,3478,2419,3176,219,-37.598021606994855,143.83018400082591
50858,26/05/2003,ROBERTSON DRIVE,# No 48,N+S,10,1314,1254,1302,91,-37.54956675048652,143.79102443742784
50859,26/05/2003,ROBERTSON DRIVE,# No 58,E+W,10,1274,1238,1267,81,-37.548509215866432,143.79192431260861
50860,5/06/2003,SIM STREET,At No 2-4,N+S,7,210,225,215,13,-37.552494057032249,143.87327851274071
50861,4/06/2003,CAMPBELL CRESCENT,# No 12,N+S,7,374,292,351,24,-37.579202417571395,143.84387235834362
50862,4/06/2003,CAMPBELL CRESCENT,# No 107,N+S,7,367,307,350,23,-37.581079825992582,143.8433663975656
