Date of contribution,Latitude,Longitude,Address,Category,What made you feel like this?,Age,Gender,Do you identify as having a disability?,Your Comment,Are you from a culturally and linguistically diverse background?
Feb 27 18 02:09:32 pm,-37.56319151,143.861854,"33 Little Bridge Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",48,Female,No,Feel uncomfortable at the bus interchange,No
Feb 27 18 02:10:34 pm,-37.56029038,143.8580989,"50 Lydiard Street North, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",48,Female,No,Feel safe at front of the cinema,No
Feb 27 18 02:12:19 pm,-37.55901464,143.8585461,"Masala Valley, 126 Lydiard St, Ballarat, Victoria 3350, Australia",Sad = Unsafe,Other,48,Female,No,Can feel unsafe at different times of the day and early evening,No
Feb 27 18 02:13:44 pm,-37.56278499,143.864572,"9 Martin Street, Bakery Hill, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",48,Female,No,Can feel unsafe at different times of day and evening.,No
Feb 27 18 02:18:53 pm,-37.56186726,143.8562688,"17 Armstrong Street South, Ballarat Central, Victoria 3350, Australia",Happy = Safe,Well Lit - considered lighting,48,Female,Yes,"I feel safe where there are fellow diners around and pleasant activity, and well lit streets.  I do not feel safe walking around at night down any dark streets and would not walk alone after dark home even though I live close to the CBD unless I was walking with someone else, and I would still try to stick to the well lit streets.",Yes
Feb 28 18 05:01:43 pm,-37.56417229,143.8626938,"7 Eastwood Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",20,Female,No,almost always homeless or drug affected people,No
Feb 28 18 05:03:55 pm,-37.56145297,143.8616547,"1 Curtis Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Busy - lots of people, activity",21,Female,No,Large groups of people loitering in cars,No
Feb 28 18 05:06:25 pm,-37.56318027,143.8619429,"33 Little Bridge Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",20,Female,No,unpredictable people at all times of day,No
Feb 28 18 05:08:25 pm,-37.56160211,143.8591023,"6 Camp Street, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Obvious Security - Police, Public Safety Officer",20,Female,No,Uni security and well lit area ,No
Feb 28 18 06:18:29 pm,-37.54439017,143.8235235,"403 Wendouree Parade, Lake Wendouree, Victoria 3350, Australia",Sad = Unsafe,Other,30,Female,No,I don?t exercise outdoors before of after work in winter because it?s dark. This area of the lake (garden side) scared me because it is so isolated with no houses or lighting. I have also had an incident of a man chasing me here. ,No
Feb 28 18 09:08:07 pm,-37.59934867,143.8400996,"5 Victoria Street, Sebastopol, Victoria 3356, Australia",Sad = Unsafe,"Obvious Security - Police, Public Safety Officer",26,Female,No,"The Coles Carpark on the Victoria St side is very dark, no cameras, drug deals taking place, hoons doing burnouts and people dumping/stealing from the charity bins. I avoid this area at all costs",No
Feb 28 18 09:14:30 pm,-37.56350865,143.8624719,"1-54 Eastwood Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,30,Female,No,I moved from one end of town after seceral years to a more almost central location I do not feel safe to shop at the city supermarkets because of people hanging around near the car parks most are drug and/or alcohol affected and I feel scared and I?m not scared of many things. I also never shop in the mall because of the riff raff hanging around. If there were better security and lighting I?d consider shopping locally however I feel safer shopping elsewhere and I feel b2B would have a boost of business and customers felt safer. Please consider spending money on better security for day and night otherwise this towns going to suffer more and that?s quite sad...,No
Mar 01 18 09:32:25 am,-37.56388072,143.8620669,"Ferguson Plarre Bakehouses, Eastwood Shopping Complex, Little Channel Ln, Ballarat, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",20,Female,No,"Hoons, drug and alcohol guys in this car park almost every night. I work till late close by and have to park my car here. When I go out there is cat calling from the boys and they break off to start their races down bakery hill from there. They also like to show off with burn outs down that stretch of road on in the car park. Lots of modified cars and drugs and alcohol then these young guys are getting behind the wheel. I just hope no one is killed. ",No
Mar 05 18 05:51:38 pm,-37.55703005,143.8560963,"202-206 Doveton Street North, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,28,Female,No,Train station carpark - not enough lighting or security to leave vehicles unattended and walk to your vehicle at night.,No
Mar 05 18 05:54:15 pm,-37.55844191,143.856504,"109 Armstrong Street North, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",28,Female,No,"Due to lack of parking in the CBD, this is a popular place to park at night. But it is also popular for homeless people and drug addicts. I will not park underneath this carpark, ever.",No
Mar 06 18 10:04:47 am,-37.56179284,143.8575232,"200 Sturt Street, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Obvious Security - Police, Public Safety Officer",,,,I feel safe here knowing that there are security guards at the taxi rank.,
Mar 06 18 10:06:45 am,-37.56220532,143.8569653,"217 Sturt Street, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",,,,When there was public art in the lanewaysat Christmas time it encouraged more people to go there and it felt safer.,
Mar 06 18 10:08:17 am,-37.56239242,143.8576305,"4 Lydiard Street South, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",49,Female,No,Always busy with people actively using the space attending events or restaurants,No
Mar 06 18 10:10:19 am,-37.56321311,143.8590682,"17-19 Albert Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,,,,I would not go here at night because there is no activity in the area and it seems dark.,
Mar 06 18 10:22:03 am,-37.5631387,143.8614607,"16 Little Bridge Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,,,,"The general amenity of the area definately contributes to feelings of being unsafe in this area. Not much greenery, no art, interactions between cars and pedestrians, senior citizens building is run down. Low level planting in planter boxes might help. Zebra lines for pedestrians crossing car park entrances.  ",
Mar 06 18 07:49:29 pm,-37.56065958,143.8572174,"35 Lydiard Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Harassment - begging, pushing, verbal, physical",28,Female,No,"Very busy, people using this place only as a walk way and quick harassment is easy to do/be victim of",No
Mar 13 18 12:07:00 pm,-37.56073187,143.8577726,"Quality Inn the George Hotel Ballarat, 27 Lydiard St, Ballarat, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",45,Female,No,"The George Hotel (& Bluestone) Nightclubs obviously encourage excessive drinking (& underage drinking). Weekend late nights on Lydiard Street are absolutely feral with drunk bogans. If you want to stop violence on the streets, check their RSA.",No
Mar 14 18 10:23:58 am,-37.56069288,143.8590623,"33 Camp Street, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Obvious Security - Police, Public Safety Officer",18,Female,,"Security people and lighting makes me feel safe here
",No
Mar 14 18 01:49:25 pm,-37.56069147,143.8585317,"40 Lydiard Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Harassment - begging, pushing, verbal, physical",31,Female,No,"There are no cameras here. A friend was attacked and even though police arrived quickly, the perpetrator was never caught because there was no CCTV in Police Lane. This surprised me because people have died from coward's punches here.",No
Mar 14 18 01:54:39 pm,-37.56114648,143.858124,"8a Lydiard Street North, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Harassment - begging, pushing, verbal, physical",31,Female,No,Man was going to bash me. Luckily I had other men with me who intervened. This was unprovoked.,No
Mar 15 18 07:44:53 pm,-37.55888417,143.8585693,"Reid's Guest House, 128 Lydiard St, Ballarat, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",28,Female,No,"Scary waiting at the bus stop in the evening. Groups of loud men hanging out, music blaring from their stereo, pulling branches off the trees and throwing things at the building. Lots of swearing. When you walk past, they stare at you and make comments to make you feel uncomfortable. ",No
Mar 16 18 10:07:07 am,-37.56033852,143.8564503,"25a Armstrong Street North, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",49,Female,No,Always feel safe here when coming out of restaurants at night,No
Mar 16 18 10:38:49 am,-37.56715912,143.8582233,"30 Grant Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,21,Female,No,Hickman st is super unsafe and a know place for odd internet hook ups,No
Mar 16 18 10:41:01 am,-37.56045334,143.8600847,"2 Field Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Harassment - begging, pushing, verbal, physical",21,Female,No,Walking down here you could get jumped at any moment. I know two people who got mugged in Feild St ,No
Mar 19 18 10:39:48 pm,-37.56339904,143.8617343,"16 Little Bridge Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Harassment - begging, pushing, verbal, physical",,Female,,Increasingly the Coles car park and nearby bus stop are areas that make not only myself but others feel quite unsafe. My teenage daughter has been harassed during the day while waiting at the bus stop by abusive young men for no apparent reason other than she was female and reading a book. They would have been in their 20s.,No
Mar 19 18 10:53:31 pm,-37.55696482,143.8519513,"37 Webster Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,49,Female,,Have been approached several times for money and followed as well as shouted at.                   ,
Mar 20 18 10:14:06 am,-37.56322459,143.8622493,"45 Little Bridge Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",48,Female,No,"Bus shelters not well maintained, people smoking",No
Mar 20 18 10:39:29 am,-37.56398787,143.8627884,"7 Eastwood Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,47,Female,No,"Front of supermarket, pathway dirty and cigerette butts",No
Mar 20 18 10:40:37 am,-37.56328838,143.8611442,"16 Little Bridge Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",47,Female,,"Badly designed, vacant shops, soup bus area,",No
Mar 20 18 10:41:53 am,-37.56211262,143.8648081,"101a Curtis Street, Bakery Hill, Victoria 3350, Australia",Sad = Unsafe,Other,47,Female,No,"Bus Stop, isolated and lacks passive surveillance",No
Mar 20 18 10:43:30 am,-37.55917419,143.8627025,"29 Scott Parade, Ballarat East, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",47,Female,,"Scots parade precinct, isolated, poor surveilliance, lacks activity during daytime Monday to Friday, homelessness, alcohol and drugs",No
Mar 20 18 10:44:38 am,-37.56005871,143.8626945,"3 Davies Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",47,Female,No,Isolated and poor amenity in area,No
Mar 23 18 07:49:22 pm,-37.56235736,143.8581064,"5 Unicorn Lane, Ballarat Central, Victoria 3350, Australia",Happy = Safe,Other,28,Female,,Public art / lighting,No
Mar 23 18 07:50:59 pm,-37.56234903,143.8587672,"109 Sturt Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,28,Female,Yes,Poor passive surveillance,No
Mar 26 18 09:12:39 am,-37.56381353,143.8653402,"46 Main Road, Bakery Hill, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",47,Male,,clean tidy infrastrcuture,
Mar 26 18 09:13:49 am,-37.5645211,143.86098,"1 Eastwood Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,47,,,Isolated and poorly maintained street scape as a walker,
Mar 26 18 09:14:46 am,-37.56520145,143.8606024,"1 Steinfeld Street North, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,Other,47,Female,,Inactive and poorly maintained area,
Mar 29 18 10:09:39 am,-37.55856949,143.8566756,"112 Armstrong Street North, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",62,Female,Yes,I feel unsafe here particularly in the winter as I sometimes work late and often no people around,No
Apr 05 18 02:46:30 pm,-37.55965388,143.859551,"8 Mair Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Harassment - begging, pushing, verbal, physical",52,Female,No,I've felt unsafe walking in this area.,No
Apr 05 18 02:48:41 pm,-37.56189915,143.8570082,"217 Sturt Street, Ballarat Central, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",52,Female,No,"I always feel safe in the Sturt Street gardens, they are well lit at night and there is generally always people around.",No
Apr 06 18 12:52:53 pm,-37.56510037,143.8632911,"39 Peel Street South, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",24,Male,,"The newly moved Bus Shelter provides no Safety as you are out in the open and sceptible to multiple youth vandalising neighboring business and public lands.
The idea of the Little Bridge street Bus Stop and adding secuirty was a fantastic idea, however now more than ever this bus stop is the new hotspot for illegal activitys, thieves are more gutsy as they know they can hide in the sewers just a block away. I feel very uncomfortable there.",No
Apr 06 18 01:54:48 pm,-37.56254125,143.8621259,"38-40 Bridge Mall, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",45,Female,No,"The alleys around Bridge Mall are scary.
McDonald's Bakery Hill is also a congregation area for groups of young men / teenagers.
Even during the day I make sure my keys are handy in case I need to defend myself.",No
Apr 06 18 01:58:09 pm,-37.5632267,143.8621187,"41 Little Bridge Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",22,Male,No,Westys hanging around the bus stops,No
Apr 06 18 02:56:51 pm,-37.56279607,143.860527,"2 Grenville Street South, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Sexual Harassment - stalking, propositioning, groping, rape",27,Female,No,A few years ago I was followed by a Man from Sturt st to the coles/safeway car park. I ended up running towards the Ballarat police station when he tried to grab me. I was attempting to find a taxi after being separated from my friends late at night. I refuse to walk at night near this area.,Yes
Apr 06 18 03:19:03 pm,-37.56319185,143.8619676,"33 Little Bridge Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",18,Male,No,unpredictable people,No
Apr 06 18 03:22:47 pm,-37.56571766,143.8605031,"6 Steinfeld Street South, Golden Point, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",35,Female,No,Lack of lighting. Unattended bushes/shrubs that impede visibility along the creek. ,No
Apr 06 18 04:00:01 pm,-37.55932643,143.864454,"202 Peel Street North, Ballarat East, Victoria 3350, Australia",Happy = Safe,Other,27,Female,No,Never had any issue walking back from the train station or cinema.,No
Apr 06 18 04:01:39 pm,-37.56024497,143.8626301,"27 Mair Street East, Ballarat Central, Victoria 3350, Australia",Happy = Safe,Other,27,Female,No,Never had any issue walking back from the train station or cinema. And the Kebab shop is open late and tends to have many customers.,No
Apr 06 18 04:02:47 pm,-37.55975168,143.8584566,"8 Mair Street, Ballarat Central, Victoria 3350, Australia",Happy = Safe,Other,27,Other,No,Never had any issue walking from the station or the cinema late at night and early morning.,No
Apr 06 18 04:03:42 pm,-37.55827181,143.8612998,"29 Scott Parade, Ballarat East, Victoria 3350, Australia",Happy = Safe,Other,27,Female,No,Walk to station early every morning. Never an issue. Lack of lighting is good as I am not lit up like a Christmas tree!,No
Apr 06 18 04:04:36 pm,-37.55974318,143.8597655,"35 Mair Street, Ballarat Central, Victoria 3350, Australia",Happy = Safe,Other,27,Female,No,Never an issue walking home late at night or early morning. Never any cause to feel unsafe.,No
Apr 06 18 04:05:52 pm,-37.56011952,143.8580248,"51-57 Lydiard Street North, Ballarat Central, Victoria 3350, Australia",Happy = Safe,Other,27,Female,No,Never an issue walking home at night from the cinema.,No
Apr 06 18 04:07:42 pm,-37.55999833,143.8611174,"1 Mair Street, Ballarat Central, Victoria 3350, Australia",Happy = Safe,Other,27,Female,No,Never felt threatened or fearful walking home late at night and early morning from the station or cinema.,No
Apr 06 18 04:14:16 pm,-37.55866092,143.8589796,"49 Humffray Street North, Ballarat Central, Victoria 3350, Australia",Happy = Safe,Other,27,Female,No,Never any issue arriving late at night or early morning. Nor collecting family from the bus depot at late hours.,No
Apr 06 18 04:17:46 pm,-37.55919035,143.8629091,"29 Scott Parade, Ballarat East, Victoria 3350, Australia",Happy = Safe,Other,27,Female,No,Never had any issue in the tunnel when walking late at night or early morning. No one is ever around! ,No
Apr 06 18 04:19:42 pm,-37.56165251,143.8700062,"87 Victoria Street, Ballarat East, Victoria 3350, Australia",Happy = Safe,Other,27,Female,No,Never felt threatened at Hungry Jacks or drive through late at night or early morning.,No
Apr 06 18 04:33:00 pm,-37.56366385,143.8642073,"9 Bath Lane, Bakery Hill, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",44,Female,No,"My colleagues and I have found drug users in the lane behind Cheap as Chips as well people drinking near the store after hours. Unsafe when needing to access you car, late at night on your own.",Yes
Apr 06 18 04:35:19 pm,-37.56373189,143.8628769,"7 Eastwood Street, Ballarat Central, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",44,Female,No,"Can be quite intimidating, as I have seen many people verbally abused or approached by people looking for money that are under the influence of various substances. ",Yes
Apr 06 18 04:37:45 pm,-37.56288994,143.8647437,"9 Martin Street, Bakery Hill, Victoria 3350, Australia",Sad = Unsafe,"Unpredictable People - homeless, drunk/drugged, teen gangs",44,Female,No,Quite often groups of teens during the day gather on the lawn and are vocal with offensive language and misbehaving. ,Yes
Apr 06 18 04:39:31 pm,-37.5606532,143.8578343,"The Lane, 27 Lydiard St, Ballarat, Victoria 3350, Australia",Happy = Safe,"Busy - lots of people, activity",44,Female,No,Generally there is some activity all times of the day and parking is accessible nearby most often. ,Yes
Apr 06 18 04:40:23 pm,-37.56240518,143.865205,"109 Curtis Street, Bakery Hill, Victoria 3350, Australia",Happy = Safe,Other,27,Female,No,Never had an issue going to Macca's late at night.,No
